regional_division,total_articles_per_capita
West North Central,0.0002415517121248739
New England,0.0002221777440013852
Middle Atlantic,9.717595742322209e-05
East North Central,9.477964185212651e-05
East South Central,8.384992951699713e-05
Pacific,8.264767752495623e-05
Mountain,7.26905143799497e-05
West South Central,7.245354872101754e-05
South Atlantic,4.390516075233694e-05
