state,regional_division,high_quality_articles,high_quality_articles_per_capita
Vermont,New England,45.0,6.954489818626905e-05
Wyoming,Mountain,39.0,6.70816555752596e-05
West Virginia,South Atlantic,106.0,5.971306183794551e-05
Alaska,Pacific,31.0,4.225834022871304e-05
Iowa,West North Central,104.0,3.249475006694231e-05
Maine,New England,43.0,3.103931164912584e-05
Delaware,South Atlantic,25.0,2.454840749570894e-05
Arkansas,West South Central,72.0,2.3640374739340244e-05
Idaho,Mountain,41.0,2.1144560200883636e-05
Hawaii,Pacific,30.0,2.0830498071095878e-05
