regional_division,high_quality_articles_per_capita
New England,3.648807332908389e-05
Mountain,2.4508874282656813e-05
Pacific,2.057297675201347e-05
West North Central,1.9992502112442266e-05
South Atlantic,1.783649467551069e-05
West South Central,1.64699916453389e-05
East North Central,1.3318827270260228e-05
East South Central,1.1161108480685057e-05
Middle Atlantic,9.250688097016283e-07
